,elevation,id,lat,lon
481,1668.0,1221478111,46.7441438,11.9907546
482,2075.0,1221478118,46.7433413,11.9505834
483,1115.0,1221478124,46.7659994,11.9480349
484,1772.0,1221478134,46.7480155,11.9846145
485,2136.0,1221478135,46.733522,11.9612857
486,1798.0,1221478136,46.7193745,11.9626426
487,1022.0,1221478139,46.7671191,11.9420844
488,1773.0,1221478142,46.7240179,11.9651777
489,2078.0,1221478144,46.7423105,11.9717917
490,1842.0,1221478147,46.7190207,11.9670549
491,1068.0,1221478149,46.7657441,11.9444162
492,2010.0,1221478163,46.741675,11.9752983
493,2154.0,1221478165,46.7420192,11.9548059
494,2109.0,1221478169,46.743289,11.9698262
495,2022.0,1221478176,46.7435647,11.949831
496,1748.0,1221478184,46.7232225,11.9630577
497,2145.0,1221478193,46.7444501,11.9680912
498,1748.0,1221478203,46.7238169,11.9642471
499,1939.0,1221478208,46.7475616,11.9515358
500,2181.0,1221478211,46.7399545,11.9663489
501,2072.0,1221478229,46.7320651,11.9615187
502,2191.0,1221478233,46.7358719,11.9618214
503,1811.0,1221478235,46.7501288,11.9825572
504,2066.0,1221478236,46.7325777,11.9639082
505,1833.0,1221478240,46.7251981,11.9678247
506,2143.0,1221478249,46.7426579,11.9682214
507,2267.0,1221478254,46.7392389,11.9575219
508,2068.0,1221478257,46.7412365,11.9719756
509,1764.0,1221478271,46.720741,11.9608319
510,976.0,1221478273,46.7689896,11.9411437
511,2214.0,1221478274,46.7396804,11.9645495
512,2145.0,1221478276,46.7420633,11.9665885
513,1854.0,1221478278,46.7280901,11.9659528
514,2032.0,1221478279,46.7416423,11.9747794
515,1811.0,1221478281,46.751822,11.9824763
516,1156.0,1221478283,46.7466388,12.0106899
517,1857.0,1221478287,46.7514192,11.9794917
518,2078.0,1221478288,46.7430518,11.9722876
519,1685.0,1221478292,46.7218466,11.9601693
520,2072.0,1221478293,46.7321795,11.9618564
521,1996.0,1221478296,46.7492535,11.9743868
522,1911.0,1221478297,46.7178026,11.9677827
523,1668.0,1221478307,46.7441541,11.9907381
524,2075.0,1221478310,46.7431975,11.9513083
525,953.0,1221478312,46.7711566,11.9413135
526,1796.0,1221478314,46.7475144,11.9851172
527,2013.0,1221478316,46.7454652,11.9490439
528,1748.0,1221478318,46.7237783,11.9639625
529,1022.0,1221478319,46.767342,11.9420369
530,1784.0,1221478328,46.7253206,11.9664269
531,2239.0,1221478330,46.7392291,11.9610104
532,2078.0,1221478331,46.741991,11.9721235
533,1850.0,1221478333,46.7273839,11.9677863
534,1128.0,1221478335,46.7643463,11.9430868
535,2075.0,1221478354,46.7438233,11.9726163
536,1742.0,1221478358,46.7228485,11.9637704
537,1811.0,1221478362,46.7512318,11.9817362
538,1748.0,1221478364,46.723794,11.9641796
539,1939.0,1221478380,46.7470058,11.9511074
540,2136.0,1221478382,46.7352588,11.962392
541,2137.0,1221478383,46.7401796,11.9676128
542,2274.0,1221478399,46.7395726,11.9597765
543,2072.0,1221478403,46.7332797,11.961882
544,2047.0,1221478410,46.7428198,11.9732987
545,2143.0,1221478412,46.7423105,11.9684714
546,2181.0,1221478413,46.7396825,11.9654289
547,2154.0,1221478417,46.7435326,11.9559115
548,2242.0,1221478426,46.7396554,11.9613073
549,1751.0,1221478427,46.7461661,11.987247
550,1685.0,1221478431,46.7217192,11.959916
551,953.0,1221478432,46.7714697,11.9402559
552,2211.0,1221478434,46.7368505,11.9594116
553,2109.0,1221478447,46.7431208,11.9690899
554,1854.0,1221478449,46.7283044,11.96627
555,1993.0,1221478451,46.7416455,11.9750261
556,1634.0,1221478454,46.7520866,11.9929862
557,2274.0,1221478458,46.7393063,11.9593671
558,1857.0,1221478461,46.751409,11.9800266
559,2078.0,1221478464,46.7432271,11.9723973
560,1685.0,1221478470,46.7218201,11.9601264
561,1069.0,1221478474,46.7648727,11.9428706
562,2072.0,1221478476,46.7320222,11.9613569
563,1996.0,1221478478,46.7496969,11.9747884
564,1945.0,1221478482,46.7165631,11.9671313
565,953.0,1221478483,46.7718766,11.9400789
566,2078.0,1221478492,46.7428193,11.9717182
567,2115.0,1221478498,46.7426116,11.953411
568,1751.0,1221478501,46.7469547,11.9863454
569,2013.0,1221478504,46.7448495,11.9485877
570,1748.0,1221478505,46.7240716,11.9638436
571,1026.0,1221478506,46.7684511,11.9415508
572,1833.0,1221478520,46.7255958,11.9666968
573,2143.0,1221478523,46.7432521,11.9672757
574,1833.0,1221478525,46.7260385,11.9668834
575,1128.0,1221478529,46.7644777,11.9430821
576,2046.0,1221478544,46.7441365,11.973109
577,2055.0,1221478548,46.7323093,11.9663954
578,1832.0,1221478552,46.7263978,11.9692629
579,1811.0,1221478554,46.7511148,11.9820591
580,2274.0,1221478556,46.7381076,11.9591018
581,1775.0,1221478559,46.7526151,11.9570916
582,2104.0,1221478576,46.7406836,11.9704047
583,1764.0,1221478580,46.7196302,11.9616277
584,2274.0,1221478587,46.7379976,11.9592906
585,2214.0,1221478589,46.7407372,11.9626612
586,1911.0,1221478592,46.7176321,11.9683759
587,2047.0,1221478616,46.742657,11.9736232
588,1958.0,1221478623,46.7487933,11.9769514
589,2104.0,1221478626,46.7403072,11.9692833
590,2076.0,1221478632,46.7444427,11.9557116
591,1962.0,1221478633,46.7446507,11.9779159
592,1690.0,1221478634,46.7459957,11.9875066
593,2072.0,1221478666,46.7325843,11.9604272
594,1685.0,1221478667,46.7218574,11.9600544
595,1128.0,1221478669,46.7638848,11.943051
596,2072.0,1221478672,46.7329517,11.9617711
597,2145.0,1221478676,46.7452148,11.9686387
598,1686.0,1221478689,46.7152222,11.9589711
599,1668.0,1221478690,46.7443502,11.9908032
600,1634.0,1221478691,46.7520899,11.9929511
601,1548.0,1221478693,46.7338245,11.9946234
602,1552.0,1221478696,46.7602775,11.9603652
603,1811.0,1221478699,46.7502532,11.98291
604,1817.0,1221478738,46.7190794,11.9659816
